id,sampno,perno,gpstripid,gpstravdayid,gpstravdaytripid,start_time,end_time,duration_min,distance_miles,avg_speed_mph,max_speed_mph,travel_mode,nbstages,travmodelist,numuniqmodes,uniqmodelist,distfromlastdest,gaptime,tripareatype,workrelated,no_transport,onsite,looptrip,origin_loc_type,destination_loc_type
82,3201299,1,7,2,1,25/11/2014 05:18,25/11/2014 05:26,8.27,5.3084,38.53,59,3,1,3,1,3,3279.213536,7.95,1,0,0,0,0,OTHER,OTHER
83,3201299,1,8,2,2,25/11/2014 05:34,25/11/2014 06:23,49.13,52.334,63.91,76.4,3,1,3,1,3,38.959069,2.48,1,0,0,0,0,OTHER,OTHER
84,3201299,1,9,2,3,25/11/2014 06:25,25/11/2014 06:43,17.63,13.7859,46.91,57.2,3,1,3,1,3,21.785937,1369.15,1,0,0,0,0,OTHER,OTHER
85,3201299,1,10,3,1,26/11/2014 05:32,26/11/2014 06:19,46.42,51.8902,67.08,78.9,3,1,3,1,3,280967.7953,2.58,1,0,0,0,0,OTHER,OTHER
86,3201299,1,11,3,2,26/11/2014 06:21,26/11/2014 06:39,17.72,13.8173,46.79,56.5,3,1,3,1,3,34.804464,498.9,1,0,0,0,0,OTHER,OTHER
87,3201299,1,12,3,3,26/11/2014 14:58,26/11/2014 15:04,6.2,4.7955,46.41,64.6,3,1,3,1,3,47434.78064,1.47,1,0,0,0,0,OTHER,OTHER
88,3201299,1,13,3,4,26/11/2014 15:05,26/11/2014 15:54,48.07,52.6694,65.75,80.8,3,1,3,1,3,34.643641,1.5,1,0,0,0,0,OTHER,OTHER
89,3201299,1,14,3,5,26/11/2014 15:55,26/11/2014 16:07,12.22,6.5041,31.94,67.1,3,1,3,1,3,24.820865,0,1,0,0,0,0,OTHER,HOME
90,sampno,perno,gpstripid,gpstravdayid,gpstravdaytripid,start_time,end_time,duration_min,distance_miles,avg_speed_mph,max_speed_mph,travel_mode,nbstages,travmodelist,numuniqmodes,uniqmodelist,distfromlastdest,gaptime,tripareatype,workrelated,no_transport,onsite,looptrip,origin_loc_type,destination_loc_type
91,3201299,2,1,1,1,24/11/2014 06:52,24/11/2014 06:58,6.35,3.4584,32.68,49.7,3,1,3,1,3,,747.33,1,0,0,0,0,OTHER,WORK
92,3201299,2,2,1,2,24/11/2014 19:25,24/11/2014 19:34,8.53,3.9478,27.76,47.2,3,1,3,1,3,6.93478,2320.85,1,0,0,0,0,WORK,HOME
93,3201299,2,3,3,1,26/11/2014 10:15,26/11/2014 10:30,15.07,8.1795,32.57,69,3,1,3,1,3,73.082443,78.47,1,0,0,0,0,HOME,OTHER
94,3201299,2,4,3,2,26/11/2014 11:48,26/11/2014 11:51,2.98,0.6256,12.58,34.2,3,1,3,1,3,27.743137,31,1,0,0,0,0,OTHER,OTHER
95,3201299,2,5,3,3,26/11/2014 12:22,26/11/2014 12:34,12.13,7.8335,38.74,64.6,3,1,3,1,3,0,0.87,1,0,0,0,0,OTHER,HOME
96,3201299,2,6,3,4,26/11/2014 12:35,26/11/2014 12:36,0.4,0.0432,6.47,9.3,3,1,3,1,3,23.35508,0,1,0,0,1,0,HOME,HOME
97,sampno,perno,gpstripid,gpstravdayid,gpstravdaytripid,start_time,end_time,duration_min,distance_miles,avg_speed_mph,max_speed_mph,travel_mode,nbstages,travmodelist,numuniqmodes,uniqmodelist,distfromlastdest,gaptime,tripareatype,workrelated,no_transport,onsite,looptrip,origin_loc_type,destination_loc_type
98,3202954,1,1,2,1,13/12/2014 10:09,13/12/2014 10:11,2.27,0.4636,12.27,27.3,3,1,3,1,3,,8.62,1,0,0,0,0,HOME,OTHER
99,3202954,1,2,2,2,13/12/2014 10:20,13/12/2014 10:31,11.15,1.545,8.31,29.8,3,2,"3,1",2,"1,3",29.273263,79,1,0,0,0,0,OTHER,OTHER
100,3202954,1,3,2,3,13/12/2014 11:50,13/12/2014 12:01,11.2,1.5339,8.22,40.4,3,2,"1,3",2,"1,3",56.157308,1308.85,1,0,0,0,0,OTHER,HOME
101,3202954,1,4,3,1,14/12/2014 09:50,14/12/2014 10:02,12.3,3.8174,18.62,36.7,3,1,3,1,3,46.091963,82.73,1,0,0,0,0,HOME,OTHER
102,3202954,1,5,3,2,14/12/2014 11:25,14/12/2014 11:43,18.05,3.8785,12.89,39.8,3,2,"3,1",2,"1,3",3.640552,39.12,1,0,0,0,0,OTHER,OTHER
103,3202954,1,6,3,3,14/12/2014 12:22,14/12/2014 12:26,4.3,1.3448,18.76,33.6,3,1,3,1,3,133.816282,0,1,0,0,0,0,OTHER,HOME
104,sampno,perno,gpstripid,gpstravdayid,gpstravdaytripid,start_time,end_time,duration_min,distance_miles,avg_speed_mph,max_speed_mph,travel_mode,nbstages,travmodelist,numuniqmodes,uniqmodelist,distfromlastdest,gaptime,tripareatype,workrelated,no_transport,onsite,looptrip,origin_loc_type,destination_loc_type
105,3202954,2,1,3,1,14/12/2014 09:50,14/12/2014 10:02,12.43,3.8076,18.37,36.7,3,1,3,1,3,,82.78,1,0,0,0,0,HOME,OTHER
106,3202954,2,2,3,2,14/12/2014 11:25,14/12/2014 11:41,15.63,3.8163,14.65,39.1,3,1,3,1,3,36.879861,41.42,1,0,0,0,0,OTHER,OTHER
107,3202954,2,3,3,3,14/12/2014 12:22,14/12/2014 12:27,4.4,1.3417,18.3,33.6,3,1,3,1,3,51.627336,0,1,0,0,0,0,OTHER,HOME
108,sampno,perno,gpstripid,gpstravdayid,gpstravdaytripid,start_time,end_time,duration_min,distance_miles,avg_speed_mph,max_speed_mph,travel_mode,nbstages,travmodelist,numuniqmodes,uniqmodelist,distfromlastdest,gaptime,tripareatype,workrelated,no_transport,onsite,looptrip,origin_loc_type,destination_loc_type
109,3204480,1,1,1,1,16/12/2014 06:22,16/12/2014 06:42,19.62,16.7578,51.26,78.9,3,1,3,1,3,,2.15,1,0,0,0,0,HOME,OTHER
110,3204480,1,2,1,2,16/12/2014 06:44,16/12/2014 06:45,1.1,0.2619,14.28,28,3,1,3,1,3,57.378153,2.32,1,0,0,0,0,OTHER,OTHER
111,3204480,1,3,1,3,16/12/2014 06:48,16/12/2014 06:52,4.6,1.392,18.16,52.8,3,2,"3,1",2,"1,3",44.832745,577.45,1,0,0,0,0,OTHER,WORK
112,3204480,1,4,1,4,16/12/2014 16:30,16/12/2014 16:35,5.63,1.4589,15.54,59,3,2,"1,3",2,"1,3",8.847598,3.22,1,0,0,0,0,WORK,OTHER
113,3204480,1,5,1,5,16/12/2014 16:39,16/12/2014 16:55,16.62,5.9678,21.55,55.3,3,1,3,1,3,29.715478,4.28,1,0,0,0,0,OTHER,OTHER
114,3204480,1,6,1,6,16/12/2014 16:59,16/12/2014 17:23,23.33,14.254,36.65,77,3,1,3,1,3,35.576025,5.65,1,0,0,0,0,OTHER,OTHER
115,3204480,1,7,1,7,16/12/2014 17:28,16/12/2014 17:29,0.7,0.041,3.51,2.5,1,1,1,1,1,26.15902,225.77,1,0,0,0,0,OTHER,OTHER
116,3204480,1,8,1,8,16/12/2014 21:15,16/12/2014 21:25,10.02,5.2105,31.21,72.1,3,2,"3,1",2,"1,3",8414.353477,11.2,1,0,0,0,0,OTHER,OTHER
117,3204480,1,9,1,9,16/12/2014 21:36,16/12/2014 21:45,9.05,4.1265,27.36,52.2,3,1,3,1,3,33.94313,528.25,1,0,0,0,0,OTHER,HOME
118,3204480,1,10,2,1,17/12/2014 06:33,17/12/2014 06:57,23.35,15.3281,39.39,77,3,2,"3,1",2,"1,3",12584.04248,473.73,1,0,0,0,0,OTHER,WORK
